,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
196,Will O' The Wisp,Leon Russell,Shelter Records,US,1975,Rock,11,VG+,VG+,100.0,402,6022,694,9.99
197,Remember,Tease,Epic,US,1988,"Electronic, Funk / Soul",10,NM or M-,NM or M-,100.0,,,,5.99
198,Babe Ruth,Babe Ruth,Harvest,US,1975,Rock,9,NM or M-,VG+,100.0,216,2713,645,11.99
199,Love All The Hurt Away,Aretha Franklin,Arista,US,1981,"Funk / Soul, Blues, Pop",10,NM or M-,VG+,100.0,337,3069,774,7.99
200,Notorious,Duran Duran,EMI,Europe,1986,"Electronic, Pop",10,VG+,VG+,100.0,969,25546,7931,14.00
201,Ted Nugent,Ted Nugent,Epic,Europe,1975,Rock,9,VG+,G+,100.0,624,23826,5033,14.00
202,Nightout,Ellen Foley,Epic,UK,1979,Rock,9,M,VG+,100.0,851,7960,539,14.00
203,The Joshua Tree,U2,Island Records,Scandinavia,1987,Rock,11,VG+,VG+,100.0,3804,164917,98989,35.00
204,The Joshua Tree,U2,Island Records,Scandinavia,1987,Rock,11,VG+,VG+,100.0,3804,164917,98989,45.00
205,Glitter,Gary Glitter,Bell Records,Germany,1972,Rock,12,VG,VG+,100.0,404,6765,1891,8.00
206,More Hits,Creedence Clearwater Revival,Euros Records,Finland,1991,Rock,15,VG+,VG+,100.0,,,,17.08
207,The Beast Of Alice Cooper,Alice Cooper,Warner Bros. Records,UK & Europe,1989,Rock,14,VG+,VG+,100.0,302,4213,439,37.05
208,Nightmares ...And Other Tales From The Vinyl Jungle,J. Geils Band*,Atlantic,US,1974,Rock,9,VG+,VG,100.0,288,5065,742,10.00
209,Best Of Kool & The Gang,Kool & The Gang,De-Lite Records,Finland,1985,Funk / Soul,17,VG+,VG+,100.0,97,2529,553,56.99
210,A New World Record,Electric Light Orchestra,United Artists Records,Scandinavia,1976,Rock,9,VG+,VG+,100.0,1817,67472,20563,27.36
211,Eye In The Sky,The Alan Parsons Project,Arista,Scandinavia,1982,Rock,10,NM or M-,VG+,100.0,1415,66625,32274,29.00
212,Oasis,Rasa (4),Lotus Eye Records,Sweden,1979,"Jazz, Rock, Folk, World, & Country",6,M,NM or M-,100.0,,,,14.00
213,Let It Be,The Beatles,Apple Records,UK,08 May 1970,Rock,12,G+,G+,100.0,4345,183827,177412,34.00
214,G N' R Lies,Guns N' Roses,Geffen Records,Europe,1988,Rock,10,VG+,VG+,100.0,1627,52354,30699,124.99
215,Tusk,Fleetwood Mac,Warner Bros. Records,US,1979,Rock,20,VG+,NM or M-,100.0,1960,78122,34881,65.00
216,Joan Jett,Joan Jett,Smash Records (3),Scandinavia,1980,Rock,12,VG+,VG+,100.0,340,14107,8834,37.00
217,Billy Idol,Billy Idol,Chrysalis,Europe,1982,"Rock, Pop",10,VG+,VG+,100.0,547,24605,12467,18.99
218,ELO's Greatest Hits,Electric Light Orchestra,Jet Records,Canada,Nov 1979,"Rock, Pop",11,NM or M-,VG+,100.0,1253,35892,6807,34.00
219,Inside Story,Grace Jones,Manhattan Records,Europe,1986,"Electronic, Jazz, Funk / Soul, Pop",10,VG+,VG+,100.0,671,8418,2347,17.66
220,G-Beat,Johnny G,Beggars Banquet,UK,1980,"Rock, Reggae, Pop",13,NM or M-,VG+,100.0,120,415,32,14.37
221,American Generation,The Ritchie Family,Arrival Records,Scandinavia,1978,Funk / Soul,5,NM or M-,NM or M-,100.0,577,2152,395,5.00
222,Off The Record With ...,Joe Cocker,Sierra Records,UK,1984,"Rock, Pop",24,M,VG+,100.0,9,55,1,17.00
223,"Say You, Say Me",Lionel Richie,Motown,Europe,1985,Funk / Soul,2,VG+,VG+,100.0,1766,9972,1532,5.00
224,Room To Roam,The WaterBoys,Ensign,Europe,1990,Rock,17,VG+,M,100.0,525,6498,917,27.00
225,"Girls, Girls, Girls",Mötley Crüe,Elektra,US,1987,Rock,10,M,VG+,100.0,889,34763,15163,127.00
226,Revolver,The Beatles,Parlophone,Denmark,1966,Rock,14,G,VG,100.0,4738,225724,423377,35.00
227,Civilized Man,Joe Cocker,Capitol Records,Europe,1984,"Rock, Funk / Soul, Pop",10,M,VG+,100.0,714,8241,932,34.00
228,Prisoner In The Street,Third World,Island Records,Scandinavia,1980,"Reggae, Stage & Screen",8,VG+,VG+,100.0,304,2965,497,25.00
229,Elastique,Stretch,Anchor (2),UK,1975,Funk / Soul,10,VG+,VG+,100.0,151,1368,1252,24.99
230,Stevie Wonder's Original Musiquarium 1,Stevie Wonder,Motown,Germany,1982,"Reggae, Funk / Soul",16,VG+,VG+,100.0,45,2756,275,24.99
231,Aural Sculpture,The Stranglers,Epic,Europe,,"Rock, Pop",11,NM or M-,VG+,100.0,670,14748,2395,27.00
232,Nugent,Ted Nugent,Atlantic,Europe,1982,Rock,10,M,NM or M-,100.0,375,4938,544,8.99
233,The Best Of Billy Cobham,Billy Cobham,Atlantic,Canada,1979,"Jazz, Funk / Soul",8,NM or M-,VG+,100.0,389,4037,516,35.38
234,Naked Child,Lee Clayton,Capitol Records,Netherlands,1979,Rock,8,NM or M-,VG+,100.0,458,3520,318,14.00
235,Bad Animals,Heart,Capitol Records,Europe,1987,Rock,10,VG,VG+,100.0,,,,7.16
236,Masque (Songs And Planets),Manfred Mann's Earth Band,10 Records,Europe,1987,"Jazz, Rock",12,VG+,NM or M-,100.0,134,1830,301,27.00
237,Inside Story,Grace Jones,Manhattan Records,Europe,1986,"Electronic, Jazz, Funk / Soul, Pop",10,VG,VG+,100.0,671,8418,2347,10.00
238,Budapest (Live),Manfred Mann's Earth Band,Bronze,Scandinavia,1983,"Rock, Folk, World, & Country",8,VG+,VG+,100.0,320,4525,453,24.99
239,Backless,Eric Clapton,RSO,Scandinavia,1978,Rock,10,VG+,VG+,100.0,1615,33778,4593,10.00
240,Sarabande,Jon Lord,Purple Records,Germany,,Rock,8,VG+,VG+,100.0,,,,35.00
241,Walls And Bridges,John Lennon,Apple Records,US,26 Sep 1974,Rock,12,VG+,VG+,100.0,1225,24289,11419,27.00
242,Coming Into Full Bloom,Rasa (4),Lotus Eye Records,Sweden,1979,"Jazz, Rock, Folk, World, & Country",6,M,NM or M-,100.0,235,1106,108,14.00
243,The Dude,Quincy Jones,A&M Records,Europe,1981,Funk / Soul,9,M,VG+,100.0,1117,21437,10170,39.07
244,Hotter Than July,Stevie Wonder,Motown,Scandinavia,1980,Funk / Soul,10,VG+,VG+,100.0,2050,58095,21293,9.00
245,Spectres,Blue Öyster Cult,CBS,Europe,1977,Rock,10,VG+,VG+,100.0,368,16876,5258,42.50
246,Remember Marilyn,Marilyn Monroe,20th Century Records,US,1972,Stage & Screen,11,VG+,VG+,100.0,59,276,26,70.00
247,Goodbye Primadonna,Marilyn Monroe,Ultraphone,Germany,1981,"Jazz, Blues",10,VG+,VG+,100.0,45,368,28,24.99
248,Have A Marijuana,David Peel & The Lower East Side,Elektra,US,1968,"Rock, Folk, World, & Country",10,VG+,VG+,100.0,308,3095,1808,99.00
249,Double Fantasy,John Lennon & Yoko Ono,Geffen Records,US,17 Nov 1980,Rock,14,VG,VG,100.0,3471,94794,20262,7.00
250,Klinga Mina Klockor,Benny Andersson,Mono Music,Sweden,1987,"Pop, Folk, World, & Country",11,NM or M-,VG+,100.0,115,931,112,13.16
251,The Album,ABBA,Polar,Sweden,12 Dec 1977,"Electronic, Rock, Pop, Stage & Screen",10,VG,VG+,100.0,,,,8.00
252,Serious Hits...Live!,Phil Collins,WEA,Europe,1990,"Rock, Pop",15,VG+,NM or M-,100.0,1717,25698,5039,65.00
253,Greatest Hits,Commodores,Motown,Scandinavia,1978,"Jazz, Funk / Soul",12,NM or M-,VG+,100.0,,,,17.00
254,Stained Class,Judas Priest,Epic,Europe,01 Dec 2017,Rock,9,M,M,100.0,708,29444,17081,65.00
255,Never Let Me Down,David Bowie,EMI America,Europe,1987,Rock,11,VG+,VG+,100.0,1530,29840,10043,24.99
256,After The War,Gary Moore,Virgin,Europe,1989,Rock,8,VG+,VG+,100.0,641,12433,1473,14.00
257,Deep Purple,Deep Purple,Harvest,Sweden,1976,Rock,8,VG+,VG+,100.0,,,,27.00
258,Masterpiece,The Temptations,Gordy,US,1973,Funk / Soul,6,VG+,VG+,100.0,,,,17.00
259,Ice Ice Baby,Vanilla Ice,SBK Records,Europe,1990,Hip Hop,3,NM or M-,NM or M-,100.0,643,14616,5399,45.00
260,Control,Janet Jackson,A&M Records,Canada,,"Funk / Soul, Pop",9,VG+,VG+,100.0,,,,17.93
261,You've Got The Power,Third World,Columbia,US,1982,Reggae,9,M,VG+,100.0,720,5161,634,24.99
262,C'est Chic,Chic,Atlantic,Spain,1978,"Electronic, Funk / Soul",8,VG+,NM or M-,100.0,980,30472,20112,27.00
263,Green River,Creedence Clearwater Revival,Fantasy,US,03 Aug 1969,Rock,9,VG,VG,100.0,1271,53570,54242,35.00
264,Mystic Energy,Osibisa,Calibre,UK,1980,Funk / Soul,8,VG+,NM or M-,100.0,120,665,535,17.00
265,Live,ABBA,Polar,Sweden,18 Aug 1986,"Electronic, Rock, Pop",11,NM or M-,NM or M-,100.0,,,,145.00
266,In The Beginning,"The Beatles And 

Tony Sheridan",Karussell,Germany,,Rock,23,M,VG+,100.0,708,5380,1576,35.00
267,Stop Making Sense,Talking Heads,EMI,Europe,1984,"Rock, Funk / Soul",9,VG+,VG+,100.0,1318,64989,40938,99.00
268,L.A. Guns,L.A. Guns,Vertigo,Europe,1988,Rock,11,VG+,VG+,100.0,,,,77.00
269,Marquee Moon,Television,Elektra,Europe,Nov 2012,Rock,8,M,M,100.0,857,52520,55560,75.00
270,Eagles,Eagles,Asylum Records,UK,1975,Rock,10,M,VG+,100.0,,,,56.99
271,Wings Greatest,Wings (2),Capitol Records,Canada,1978,Rock,12,VG+,NM or M-,100.0,1642,36973,6204,24.99
272,Am I Not Your Girl?,Sinéad O'Connor,Ensign,Europe,22 Sep 1992,"Electronic, Jazz, Pop",12,M,VG+,100.0,636,5969,1472,99.00
273,Stands For Decibels,The dB's,Albion Records,Scandinavia,1981,"Rock, Pop",11,M,VG+,100.0,71,3148,2970,45.00
274,Bat Out Of Hell,Meat Loaf,Epic,US,1977,Rock,10,VG,G,100.0,3097,118111,31050,35.83
275,Music From And Inspired By The Motion Picture 8 Mile,Various,Shady Records,Europe,05 Dec 2013,"Hip Hop, Stage & Screen",16,M,M,100.0,842,12410,3642,75.00
276,Captain Fantastic And The Brown Dirt Cowboy,Elton John,DJM Records (2),Europe,1975,Rock,10,VG,VG,100.0,1813,53649,15263,9.00
277,The Very Best Of The Electric Light Orchestra,The Electric Light Orchestra*,Epic,Europe,1990,Rock,24,NM or M-,VG+,100.0,89,1634,228,46.19
278,El Rayo Live,David Lindley And El Rayo-X,Asylum Records,Germany,1983,Rock,6,VG+,VG+,100.0,212,2037,155,9.21
279,Touch Me,Samantha Fox,Jive,Scandinavia,1986,"Electronic, Pop",11,NM or M-,NM or M-,100.0,1182,8689,5034,25.00
280,I Love Rock 'N Roll,Joan Jett & The Blackhearts,Smash Records (3),Scandinavia,1982,Rock,10,VG+,VG+,100.0,718,36050,10454,28.29
281,Level Best (A Collection Of Their Greatest Hits),Level 42,Polydor,Europe,1989,"Funk / Soul, Pop",14,M,VG+,100.0,49,1160,119,45.00
282,Listen Like Thieves,INXS,Mercury,Europe,1985,"Rock, Pop",11,VG+,VG+,100.0,883,28753,4763,24.99
283,The Final,Wham!,Epic,Europe,1986,"Electronic, Pop",15,NM or M-,VG+,100.0,2486,87502,43887,68.99
284,El Loco,ZZ Top,Warner Bros. Records,Europe,,Rock,10,NM or M-,G+,100.0,623,23995,5885,21.75
285,Alchemy - Dire Straits Live,Dire Straits,Vertigo,Netherlands,1984,Rock,10,M,VG+,100.0,1151,54867,23677,77.00
286,Whitney,Whitney Houston,Arista,Europe,1987,"Funk / Soul, Pop",11,NM or M-,NM or M-,100.0,2377,47715,19067,34.00
287,Broken English,Marianne Faithfull,Island Records,Canada,1979,Rock,8,M,VG+,100.0,1302,27920,9155,29.51
288,Blue Moves,Elton John,The Rocket Record Company,UK,Oct 1976,Rock,18,M,NM or M-,100.0,1375,25466,4300,56.99
289,Legend (The Best Of Bob Marley And The Wailers),Bob Marley And The Wailers*,Island Records,Europe,1990,Reggae,14,NM or M-,VG+,100.0,3686,153917,106469,35.00
290,Shepherd Moons,Enya,WEA,Europe,1991,"Electronic, Folk, World, & Country",12,M,NM or M-,100.0,1446,15052,5008,99.00
291,Hotel California,Eagles,Asylum Records,US,1976,Rock,9,VG+,VG+,100.0,4145,190078,131979,27.00
292,The Premiere Collection - The Best Of Andrew Lloyd Webber,Andrew Lloyd Webber,Really Useful Records,UK,1988,Stage & Screen,28,M,NM or M-,100.0,625,4316,238,25.00
293,Dookie,Green Day,Reprise Records,Europe,2008,Rock,16,M,M,100.0,1848,89360,49425,57.00
294,Rumours,Fleetwood Mac,Warner Records,Europe,2021,"Rock, Pop",11,M,M,100.0,4562,333382,398418,45.00
295,Face Value,Phil Collins,Atlantic,Europe,1981,"Rock, Pop",12,NM or M-,NM or M-,100.0,2584,94748,37623,18.75
296,Ballad Of The Streets,Simple Minds,Virgin,Europe,1989,"Electronic, Rock",3,NM or M-,VG+,100.0,1428,9968,589,7.00
297,The Story's Been Told,Third World,Island Records,Scandinavia,1979,"Reggae, Funk / Soul",7,VG+,VG+,100.0,314,3495,657,16.58
298,Vol. II - 1990 A New Decade,Soul II Soul,10 Records,Europe,1990,"Electronic, Hip Hop, Jazz, Funk / Soul",10,M,M,100.0,1106,9334,2864,45.00
299,Thriller,Michael Jackson,Epic,Netherlands,1982,"Electronic, Funk / Soul, Pop",9,VG+,VG+,100.0,6628,324264,267360,35.00
300,All Of This Will End,Indigo De Souza,Saddle Creek,US,28 Apr 2023,Rock,11,M,M,Item Ships From:,64,526,143,35.00
301,Avett Guild 45 - 2022,The Avett Brothers,Loma Vista,US,2023,"Rock, Folk, World, & Country",2,M,M,Item Ships From:,1,102,5,39.00
302,Alvvays,Alvvays,Polyvinyl Record Company,US,21 Apr 2023,Rock,9,M,M,Item Ships From:,104,13281,7467,47.50
303,Infinite Death,Thy Art Is Murder,Wax Vessel,US,2023,Rock,5,M,M,Item Ships From:,29,770,1825,59.00
304,Bride Of Chucky (Original Motion Picture Score),Graeme Revell,Enjoy The Ride Records,US,31 Mar 2023,Stage & Screen,28,M,M,Item Ships From:,7,149,22,49.30
305,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
306,8 Mile (Music From & Inspired By The Motion Picture) (20th Anniversary Edition),Various,Shady Records,US,14 Apr 2023,Hip Hop,32,M,M,Item Ships From:,842,12410,3642,175.00
307,The Weakness,Ruston Kelly,Rounder Records,US,07 Apr 2023,"Rock, Folk, World, & Country",12,M,M,Item Ships From:,41,270,8,49.60
308,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
309,Psychic Dance Routine,Scowl (4),Flatspot Records,US,07 Apr 2023,Rock,5,M,M,Item Ships From:,46,711,110,39.00
310,Iced Tea,"Joyce Wrice, 

Kaytranada",Joyce Wrice Music,US,23 Mar 2023,"Electronic, Funk / Soul",2,M,M,Item Ships From:,6,92,55,58.00
311,Sparks,Sparks,Friday Music,US,22 Apr 2023,Rock,11,M,M,Item Ships From:,,,,29.90
312,Be The Wheel,Theo Katzman,Ten Good Songs,US,2023,Pop,11,M,M,Item Ships From:,671,26931,15392,35.60
313,Boston Garden 5.7.77,The Grateful Dead,Rhino Records (2),Worldwide,22 Apr 2023,"Rock, Folk, World, & Country",20,M,M,Item Ships From:,63,2349,442,64.90
314,Devil Music,portrayal of guilt,Run For Cover Records (2),US,20 Apr 2023,Rock,10,M,M,Item Ships From:,,,,58.00
315,E.T. The Extra-Terrestrial (40th Anniversary Edition),John Williams (4),Mondo (3),US,07 Apr 2023,Stage & Screen,26,M,M,Item Ships From:,11,488,32,36.00
316,No Pressure,No Pressure (3),Triple-B Records (2),US,21 Apr 2023,Rock,7,M,M,Item Ships From:,33,1229,1113,39.00
317,The Artist In The Ambulance (Revisited),Thrice,Misc.,US,24 Mar 2023,Rock,12,M,M,Item Ships From:,39,1350,157,34.00
318,Rat Saw God,Wednesday (10),Dead Oceans,US,07 Apr 2023,Rock,10,M,M,Item Ships From:,83,1488,361,38.20
319,$5.00 At The Door,Sublime (2),Surfdog Records,US,21 Apr 2023,Rock,26,M,M,Item Ships From:,105,1221,140,49.60
320,Give Way,Pearl Jam,Epic,Europe,22 Apr 2023,Rock,17,M,M,Item Ships From:,382,8888,1513,19.50
321,Shapeshifter,Smile Empty Soul,Enjoy The Ride Records,US,07 Apr 2023,Rock,6,M,M,Item Ships From:,,,,59.60
322,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,Polydor,Worldwide,24 Mar 2023,"Rock, Pop",16,M,M,Item Ships From:,913,32206,7318,19.00
323,No Pressure,No Pressure (3),Triple-B Records (2),US,21 Apr 2023,Rock,7,M,M,Item Ships From:,33,1229,1113,55.00
324,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
325,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
326,Wild Ones,Kip Moore,MCA Nashville,US,22 Apr 2023,"Folk, World, & Country",16,M,M,Item Ships From:,128,2251,453,125.30
327,Aethiopes Instrumentals,Preservation,MonDieu Music,US,May 2023,Hip Hop,13,M,M,Item Ships From:,10,81,91,107.00
328,Windhand,Windhand,Relapse Records,US,21 Apr 2023,Rock,10,M,M,Item Ships From:,110,3472,2448,38.00
329,"Lover, The Lord Has Left Us",The Sound Of Animals Fighting,Equal Vision Records,US,2023,Rock,14,M,M,Item Ships From:,39,1451,651,84.99
330,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,Polydor,Worldwide,24 Mar 2023,"Rock, Pop",16,M,M,Item Ships From:,913,32206,7318,24.50
331,Fair Exchange No Robbery,"Nicholas Craven, 

Boldy James",Near Mint,US,14 Mar 2023,Hip Hop,10,M,M,Item Ships From:,34,641,342,92.20
332,It's A Jungle In Here,Medeski Martin & Wood,Real Gone Music,US,22 Apr 2023,Jazz,10,M,M,Item Ships From:,70,1501,346,43.00
333,$5.00 At The Door,Sublime (2),Surfdog Records,US,21 Apr 2023,Rock,26,M,M,Item Ships From:,105,1221,140,41.00
334,About U,Muna,RCA,US,2023,"Electronic, Rock, Pop",12,M,M,Item Ships From:,27,1137,1195,98.00
335,Suburban Annihilation - The California Hardcore Explosion From The City To The Beach: 1978-1983,Various,Futurismo,US,24 Feb 2023,Rock,25,M,M,Item Ships From:,23,121,32,56.00
336,Fair Exchange No Robbery,"Nicholas Craven, 

Boldy James",Near Mint,US,14 Mar 2023,Hip Hop,10,M,M,Item Ships From:,34,641,342,72.00
337,Stagger,Poppy (38),Republic Records,US,21 Apr 2023,"Electronic, Rock, Pop",4,M,M,Item Ships From:,280,1472,362,114.00
338,Brothers In Christ,"Nerver (2) / 

Chat Pile",Reptilian Records,US,14 Apr 2023,Rock,4,M,M,Item Ships From:,,,,52.00
339,12 Bar Blues,Scott Weiland,Rhino Records (2),Worldwide,22 Apr 2023,Rock,15,M,M,Item Ships From:,188,3737,720,19.50
340,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
341,Pain Remains,Lorna Shore,Century Media,US,2023,Rock,10,M,M,Item Ships From:,98,3637,1066,189.00
342,Midnight Television,Midnight Television,Geometric Lullaby,US,06 Jan 2023,"Electronic, Jazz",7,M,M,Item Ships From:,5,259,436,46.30
343,Psychic Dance Routine,Scowl (4),Flatspot Records,US,07 Apr 2023,Rock,5,M,M,Item Ships From:,46,711,110,45.70
344,Untitled,Computer Dreams,Geometric Lullaby,US,10 Apr 2023,Electronic,6,M,M,Item Ships From:,6429,301884,505401,39.00
345,"Live: Right Here, Right Now.",Van Halen,Rhino Records (2),"USA, Canada & Europe",22 Apr 2023,Rock,28,M,M,Item Ships From:,451,9614,1502,64.90
346,Angels in Science Fiction,St. Paul & The Broken Bones,ATO Records,US,20 Apr 2023,Funk / Soul,12,M,M,Item Ships From:,69,585,79,110.00
347,Big Picture,Fenne Lily,Dead Oceans,US,14 Apr 2023,"Rock, Folk, World, & Country",10,M,M,Item Ships From:,121,5989,6680,46.30
348,Hello Mary Lou: Prom Night II (Original Motion Picture Soundtrack),Paul Zaza,Terror Vision,US,Apr 2023,Stage & Screen,12,M,M,Item Ships From:,34,297,56,48.00
349,Mothership,Dance Gavin Dance,Rise Records (3),US,31 Mar 2023,Rock,13,M,M,Item Ships From:,698,25721,5998,47.00
350,Dark Sun,Dayseeker,Spinefarm Records,US,2022,"Rock, Pop",11,M,M,Item Ships From:,,,,79.60
351,Maniac,Fugitive (21),20 Buck Spin,US,10 Mar 2023,Rock,5,M,M,Item Ships From:,690,8557,5081,42.30
352,Shapeshifter,Smile Empty Soul,Enjoy The Ride Records,US,Apr 2023,Rock,6,M,M,Item Ships From:,,,,75.00
353,Infinite Death,Thy Art Is Murder,Wax Vessel,US,14 Apr 2023,Rock,5,M,M,Item Ships From:,29,770,1825,360.00
354,Disney 100,Various,Walt Disney Records,US,28 Apr 2023,"Children's, Stage & Screen",29,M,M,Item Ships From:,36,759,127,59.60
355,Heaven Surrounds You,Surf Curse,Not On Label (Surf Curse Self-released),US,31 Mar 2023,Rock,12,M,M,Item Ships From:,45,1044,870,99.00
356,Necromantic Rites,The Yellow Sign,Wax Vessel,US,Apr 2023,Rock,21,M,M,Item Ships From:,35,185,357,199.00
357,Necromantic Rites,The Yellow Sign,Wax Vessel,US,Apr 2023,Rock,21,M,M,Item Ships From:,35,185,357,199.00
358,Beats and Breaks from the Flower Patch,Kitty Craft,Disc Drive (2),US,07 Apr 2023,"Electronic, Pop",13,M,M,Item Ships From:,2,202,350,40.00
359,Fair Exchange No Robbery,"Nicholas Craven, 

Boldy James",Near Mint,US,14 Mar 2023,Hip Hop,10,M,M,Item Ships From:,34,641,342,69.00
360,Metro Station,Metro Station,Field Day Records,US,20 Apr 2023,"Electronic, Rock, Pop",10,M,M,Item Ships From:,263,1483,607,48.50
361,Infinite Death,Thy Art Is Murder,Wax Vessel,US,14 Apr 2023,Rock,5,M,M,Item Ships From:,29,770,1825,360.00
362,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
363,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
364,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
365,Arthur Verocai,Arthur Verocai,Mr Bongo,US,2023,"Jazz, Latin, Funk / Soul",10,M,M,Item Ships From:,312,10571,13964,48.30
366,With A Hammer,Yaeji,XL Recordings,US,07 Apr 2023,"Electronic, Pop",13,M,M,Item Ships From:,122,987,232,50.00
367,"Live In Paris, Palais Des Congrès - March 6th, 1978",Tangerine Dream,Eastgate Music And Arts,USA & Europe,22 Apr 2023,Electronic,6,M,M,Item Ships From:,88,404,86,39.66
368,The Common Man’s Collapse,Veil of Maya,Sumerian Records,US,28 Apr 2023,Rock,10,M,M,Item Ships From:,19,853,469,48.00
369,Welcoming Home the Astronauts,Flickerstick,Tornado Records (26),US,14 Apr 2023,Rock,12,M,M,Item Ships From:,34,620,121,100.00
370,Exotico,Temples (4),ATO Records,US,14 Apr 2023,Rock,16,M,M,Item Ships From:,125,853,157,38.00
371,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
372,"Forever, Now",Sultan + Shepard*,This Never Happened,US,2023,Electronic,11,M,M,Item Ships From:,441,17997,6063,87.00
373,Fever Dream,Cannons (5),Columbia,US,2023,Electronic,11,M,M,Item Ships From:,,,,170.00
374,Dark Waves,Attack Attack!,Oxide Records,US,31 Mar 2023,Rock,5,M,M,Item Ships From:,50,220,30,50.00
375,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
376,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
377,Aretha Now,Aretha Franklin,Atlantic,US,Mar 2023,Funk / Soul,10,M,M,Item Ships From:,314,14230,15824,67.00
378,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
379,Infinite Death,Thy Art Is Murder,Wax Vessel,US,2023,Rock,5,M,M,Item Ships From:,29,770,1825,320.00
380,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
381,Sneakin' Sally Through The Alley,Robert Palmer,Island Records,US,1975,"Rock, Funk / Soul",8,VG,VG+,99.7,297,9971,4396,9.00
382,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
383,Vinyl Discography Boxset,Depressive Silence,Ancient Meadow,US,21 Apr 2023,Electronic,26,M,M,Item Ships From:,3,69,39,59.00
384,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
385,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
386,TA Box Set #4,Touché Amoré,Rise Records (3),US,22 Apr 2023,Rock,15,M,M,Item Ships From:,,40,163,69.00
387,Aggregated,Brazen Bull,Wax Vessel,US,Apr 2023,Rock,22,M,M,Item Ships From:,19,203,435,50.00
388,Folklore: The Long Pond Studio Sessions,Taylor Swift,Republic Records,Worldwide,22 Apr 2023,"Rock, Pop, Folk, World, & Country",17,M,M,Item Ships From:,184,19446,4406,29.60
